source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
menu.create_an_account;Créer un compte;Créer un compte;Create an account;Create an account;Criar uma conta;Criar uma conta;Crear una cuenta;Crear una cuenta
title.new_user_account;Nouveau compte utilisateur;Nouveau compte utilisateur;New user account;New user account;Nueva cuenta de usuario;Nueva cuenta de usuario;Nueva cuenta de usuario;Nueva cuenta de usuario
menu.connection;Connexion;Connexion;Connection;Connection;Ligação;Ligação;Conexión;Conexión
menu.adding_user;Ajouter un utilisateur;Ajouter un utilisateur;Adding a User;Adding a User;Adicionar um usuário;Adicionar um usuário;Añadir un usuario;Añadir un usuario
menu.editing_user;Modification d'un utilisateur;Modification d'un utilisateur;Editing a User;Editing a User;Editar um usuário;Editar um usuário;Editar un usuario;Editar un usuario
menu.new_user;Nouvel utilisateur;Nouvel utilisateur;New user;New user;Novo utilizador;Novo utilizador;Nuevo usuario;Nuevo usuario
menu.language;Langue;Langue;Language;Language;Idioma;Idioma;Idioma;Idioma
menu.french;Français;Français;French;French;Francês;Francês;Francés;Francés
menu.english;Anglais;Anglais;English;English;Inglês;Inglês;Inglés;Inglés
menu.spanish;Espagnol;Espagnol;Spanish;Spanish;Espanhol;Espanhol;Español;Español
menu.portuguese;Portugais;Portugais;Portuguese;Portuguese;Português;Português;Portugués;Portugués
menu.diapora;Diaspora;Diaspora;Diaspora;Diaspora;Diáspora;Diáspora;Diáspora;Diáspora
menu.user_type;Type d'utilisateur;Type d'utilisateur;User type;User type;Tipo de usuario;Tipo de usuario;Tipo de usuario;Tipo de usuario
menu.init_reset_password;Initialisation du mot de passe;Initialisation du mot de passe;Password initialization;Password initialization;Inicialização da palavra-passe;Inicialização da palavra-passe;Inicialización de contraseña;Inicialización de contraseña
menu.information_for_reset_password_with_tag;Compléter le formulaire, un sms ou un email vous seras envoyé.%tag_br%Il contiendra le code pour initialiser votre mot de passe;Compléter le formulaire, un sms ou un email vous seras envoyé.%tag_br%Il contiendra le code pour initialiser votre mot de passe;Complete the form, an SMS or an email will be sent to you.%tag_br%It will contain the code to initialize your password;Complete the form, an SMS or an email will be sent to you.%tag_br%It will contain the code to initialize your password;Preencha o formulário, será enviado um SMS ou um e-mail para si.%tag_br%Isso conterá o código para inicializar a sua palavra-passe;Preencha o formulário, será enviado um SMS ou um e-mail para si.%tag_br%Isso conterá o código para inicializar a sua palavra-passe;Rellene el formulario, se le enviará un SMS o un correo electrónico.%tag_br%. Contendrá el código para inicializar su contraseña;Rellene el formulario, se le enviará un SMS o un correo electrónico.%tag_br%. Contendrá el código para inicializar su contraseña
menu.other_phone_number;Autre numéro de téléphone;Autre numéro de téléphone;Other phone number;Other phone number;Outro número de telefone;Outro número de telefone;Otro número de teléfono;Otro número de teléfono
menu.phone_number;Numéro de téléphone;Numéro de téléphone;Phone number;Phone number;Número de telefone;Número de telefone;Número de teléfono;Número de teléfono
menu.login_phone;Téléphone de Connexion;Téléphone de Connexion;Login phone;Login phone;Telefone de acesso;Telefone de acesso;Teléfono de inicio de sesión;Teléfono de inicio de sesión
menu.verification_code;Code de verification;Code de verification;Verification code;Verification code;Código de verificação;Código de verificação;Código de verificación;Código de verificación
menu.cancel;Annuler;Annuler;Cancel;Cancel;Cancelar;Cancelar;Cancelar;Cancelar
menu.optional_email;Adresse E-mail (falcutatif);Adresse E-mail (falcutatif);E-mail address (optional);E-mail address (optional);Endereço electrónico (opcional);Endereço electrónico (opcional);Dirección de correo electrónico (opcional);Dirección de correo electrónico (opcional)
menu.company;Entreprise;Entreprise;Company;Company;Empresa;Empresa;Empresa;Empresa
menu.companies;Entreprises;Entreprises;Companies;Companies;Empresas;Empresas;Empresas;Empresas
